masse_A;;;;;;
t;x;y;v_{x};v_{y};a_{x};a_{y}
16.47;0.32;-0.13;-0.08;-0.08;-1.28;-1.45
16.50;0.31;-0.13;-0.11;-0.12;-0.43;-0.51
16.53;0.31;-0.14;-0.08;-0.09;0.42;0.64
16.57;0.31;-0.14;-0.10;-0.09;0.56;0.79
16.60;0.30;-0.14;-0.05;-0.04;0.70;0.93
16.63;0.30;-0.14;-0.03;-0.02;0.14;0.00
16.66;0.30;-0.14;-0.06;-0.05;-0.77;-0.57
16.70;0.30;-0.14;-0.07;-0.06;-0.21;0.21
16.73;0.30;-0.15;-0.08;-0.03;0.13;1.14
16.76;0.29;-0.15;-0.06;0.02;0.20;0.85
16.80;0.29;-0.15;-0.07;0.03;0.43;0.00
16.83;0.29;-0.14;-0.04;0.01;0.22;-0.49
16.86;0.29;-0.14;-0.03;0.00;0.43;-0.28
16.90;0.29;-0.14;-0.03;-0.01;0.28;-0.07
16.93;0.29;-0.15;0.00;-0.01;0.57;0.08
16.96;0.29;-0.15;0.00;0.00;0.00;0.14
16.99;0.29;-0.15;0.00;0.00;0.00;0.00
17.03;0.29;-0.15;0.00;0.00;0.00;0.00
17.06;0.29;-0.15;0.00;0.00;0.00;0.00
17.09;0.29;-0.15;0.00;0.00;;
17.13;0.29;-0.15;;;;
17.56;0.29;-0.14;;;;
17.65;0.30;-0.14;;;;
18.31;0.31;-0.12;;;;
18.94;0.31;-0.12;;;;
20.92;0.32;-0.11;;;;
20.95;0.32;-0.11;-0.01;-0.01;;
20.99;0.32;-0.11;0.00;0.00;0.14;0.14
21.02;0.32;-0.11;0.00;0.00;0.00;0.00
21.05;0.32;-0.11;0.00;0.00;0.00;0.00
21.08;0.32;-0.11;0.00;0.00;0.00;0.00
21.12;0.32;-0.11;0.00;0.00;0.00;0.00
21.15;0.32;-0.11;0.00;0.00;0.00;0.00
21.18;0.32;-0.11;0.00;0.00;0.00;0.00
21.22;0.32;-0.11;0.00;0.00;0.02;-2.02
21.25;0.32;-0.11;0.00;-0.12;2.20;-3.72
21.28;0.32;-0.12;0.13;-0.27;1.82;-1.64
21.31;0.33;-0.13;0.17;-0.23;-2.19;2.86
21.35;0.33;-0.13;-0.04;-0.07;-3.80;4.08
21.38;0.33;-0.13;-0.12;0.05;-0.01;0.85
